variant,target_election,training_elections,predictors,predictor_count,preliminary_columns_enabled,target_excluded_from_fit,old_slot_predictors_used,consistent_scored_denominator,neutral_context_direct_adjustment,withdrawn_candidate_direct_adjustment,withdrawal_model_enabled,target_has_withdrawal_event,prior_withdrawal_elections,predictor_orthogonalization,raw_max_predictor_vif,standardized_coef_intercept,standardized_coef_issue_advantage,standardized_coef_rif,standardized_coef_partisan_prior,standardized_coef_landscape_bloc_alignment,standardized_coef_landscape_centrist,standardized_coef_landscape_inferred_prior,layer_config_ridge_alpha,layer_config_residual_enabled,layer_config_residual_scale,layer_config_residual_shrinkage,layer_config_neutral_context_scale,layer_config_overlay_gain,layer_config_conversion_scale,layer_config_district_terrain_scale,layer_config_within_bloc_transfer_scale,layer_config_within_bloc_reservoir_gain,layer_config_within_bloc_stronghold_gain,layer_config_regionalism_scale,layer_config_regional_anchor_strength,layer_config_third_competitiveness_gate_enabled,layer_config_third_character_multiplier_enabled,layer_config_manual_issue_seed_enabled,layer_config_automatic_issue_seed_enabled,candidate_stage
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.1961936237610969,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.33333333333333326,0.0853103424280889,0.08531034242808215,0.18118493737083732,-0.06440970097044643,0.09471453700364228,-0.01239586754818917,0.3,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.026253212485678,0.3333333333333339,0.0782451015706795,0.07824510157072093,0.18578176621087245,0.08986622168478216,-0.10490504051599296,0.014272354315128834,0.8,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.835223458307677,0.38548057259713736,0.08516579749090912,0.08516579749088501,0.18966328091367013,0.07745815594611206,-0.13218725062886427,0.015871819647390144,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.15,1.0,False,False,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.060997230419977,0.36760752688172,0.05148722500320643,0.05148722500321636,0.16548737292232016,-0.021183725791939695,0.01702177353156951,0.008287966186125319,1.2,False,0.0,8.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,strict_base
slot_free_hierarchy_no_neutral,pres_2002,pres_1997,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,True,0,,1.0,0.3333333333333333,0.0,0.0,0.1961936237610969,0.0,0.0,0.0,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2007,pres_1997|pres_2002,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,1.0067665544375772,0.33333333333333326,0.0853103424280889,0.08531034242808215,0.18118493737083732,-0.06440970097044643,0.09471453700364228,-0.01239586754818917,0.3,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2012,pres_1997|pres_2002|pres_2007,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,15.026253212485678,0.3333333333333339,0.0782451015706795,0.07824510157072093,0.18578176621087245,0.08986622168478216,-0.10490504051599296,0.014272354315128834,0.8,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2017,pres_1997|pres_2002|pres_2007|pres_2012,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,13.835223458307677,0.38548057259713736,0.08516579749090912,0.08516579749088501,0.18966328091367013,0.07745815594611206,-0.13218725062886427,0.015871819647390144,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,False,False,False,True,structural_stack
slot_free_hierarchy_no_neutral,pres_2022,pres_1997|pres_2002|pres_2007|pres_2012|pres_2017,issue_advantage|rif|partisan_prior|landscape_bloc_alignment|landscape_centrist|landscape_inferred_prior,6,False,True,False,True,False,True,False,False,1,,11.060997230419977,0.36760752688172,0.05148722500320643,0.05148722500321636,0.16548737292232016,-0.021183725791939695,0.01702177353156951,0.008287966186125319,1.2,False,0.0,8.0,0.0,0.0,0.05,0.0,0.5,1.0,0.25,0.15,1.0,True,True,False,True,structural_stack
