election_id,slot,candidate_name,assembly_neutral_issue_signal,evidence_count,context_neutral_count,context_issue_overlap_count,global_context_neutral_count,global_context_issue_overlap_count,global_context_structure_strength,global_context_content_strength,global_context_strength,global_context_relative_strength,coverage_gate_passed,available_date,confidence,sample_rows,source,notes
pres_2002,A,노무현,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2002-11-14,0.0,5000,outputs/assembly_stance/pilot_pres_2002_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2002,B,이회창,0.0,17,311,7,2314.0,7.0,0.9772042728903712,0.9263030535682698,0.9644789680598457,0.6760206750902473,0,2002-11-14,0.0,5000,outputs/assembly_stance/pilot_pres_2002_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2002,C,권영길,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2002-11-14,0.0,5000,outputs/assembly_stance/pilot_pres_2002_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2007,A,이명박,0.075446312033085,51,359,13,4641.0,13.0,0.9861136449373858,0.9500322579266033,0.9770932981846902,0.6962136779895725,1,2007-12-17,1.0,5000,outputs/assembly_stance/pilot_pres_2007_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2007,B,정동영,-0.004632346803018996,3,33,3,1075.0,3.0,0.9888042851222508,0.9329447698351885,0.9748394063004855,0.6272522640718269,1,2007-12-17,0.4330127018922193,5000,outputs/assembly_stance/pilot_pres_2007_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2007,C,이회창,-0.056670960621872005,1,4,1,499.0,1.0,0.9999517903507912,1.0,0.9999638427630935,0.8380524814062784,1,2007-12-17,0.25,5000,outputs/assembly_stance/pilot_pres_2007_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2012,A,박근혜,-0.028445250584198188,8,11,5,1247.0,7.0,0.9172786693701017,0.7010839728417,0.8632299952380014,0.2979979332021286,1,2012-12-14,0.7071067811865476,5000,outputs/assembly_stance/pilot_pres_2012_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2012,B,문재인,0.0270646301083281,3,9,2,660.0,3.0,0.9850669771806945,0.9234559545580053,0.9696642215250224,0.4887699177758871,1,2012-12-14,0.4330127018922193,5000,outputs/assembly_stance/pilot_pres_2012_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2017,A,문재인,0.013503124878326934,2,6,2,631.0,2.0,0.9862514905426674,0.9128816500254163,0.9679090304133546,0.7342360895945386,1,2017-04-13,0.3535533905932738,5000,outputs/assembly_stance/pilot_pres_2017_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2017,B,홍준표,-0.015584170373242182,2,11,1,603.0,2.0,0.956123159679085,0.7219714658727798,0.8975852362275087,0.24251483062423693,1,2017-04-13,0.3535533905932738,5000,outputs/assembly_stance/pilot_pres_2017_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2017,C,안철수,0.0,1,1,1,53.0,1.0,0.901238550765662,0.5036644172148449,0.8018450173779579,0.06804138174397717,1,2017-04-13,0.25,5000,outputs/assembly_stance/pilot_pres_2017_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2022,A,윤석열,-0.12810296251255904,7,102,3,1327.0,4.0,0.9424682505427302,0.7855238010944439,0.9032321381806587,0.6775082025611328,1,2022-02-28,0.6614378277661477,5000,outputs/assembly_stance/pilot_pres_2022_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
pres_2022,B,이재명,0.12810296251255904,7,56,5,1732.0,5.0,0.9970878577764037,0.9793633806783332,0.9926567385018861,0.8874344501168988,1,2022-02-28,0.6614378277661477,5000,outputs/assembly_stance/pilot_pres_2022_5000/review_batch.csv,pre-election 5000-row stratified speech sample; confidence-power=3; target-neutral gain=0.50; issue-global gain=0.25; vote totals and shares not used by builder
