election_id,candidate_id,slot,candidate_name,issue_name,association_strength,direction,available_date,source_type,confidence,notes,automatic_evidence_score,emphasis_within,target_directional_balance,target_attribution_confidence,target_absolute_evidence,target_source_types,candidate_treatment_signal,issue_evidence_count,link_evidence_count
pres_2002,pres_2002_A,A,노무현,candidate_competence,0.4989473684210527,0.0,2002-12-18,assembly_automatic_seed,0.12650851538709676,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.45263157894736844,0.0418,0.0,0.0,0.0,,0.3954832490226061,31,0
pres_2002,pres_2002_A,A,노무현,corruption_integrity,0.696724176933408,-0.9051482536448665,2002-12-18,assembly_automatic_seed,0.3337210513715734,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.81222577624256,0.1075,-1.0,0.3769183548970101,0.5165497005,government,0.3954832490226061,202,1
pres_2002,pres_2002_A,A,노무현,economy_growth,0.736079220219346,-0.9051482536448665,2002-12-18,assembly_automatic_seed,0.38633403434470537,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.8837804003988108,0.1591,-1.0,0.4715335809414224,2.2587843095,government,0.3954832490226061,156,4
pres_2002,pres_2002_A,A,노무현,education,0.6089473684210527,0.0,2002-12-18,assembly_automatic_seed,0.12172226424545454,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.6526315789473685,0.0986,0.0,0.0,0.0,,0.3954832490226061,110,0
pres_2002,pres_2002_A,A,노무현,endorsement_event,0.5280401712449596,0.9051482536448665,2002-12-18,assembly_automatic_seed,0.32917918946163993,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.5055275840817447,0.0318,1.0,0.369743183566618,0.50671645,government,0.3954832490226061,66,1
pres_2002,pres_2002_A,A,노무현,external_shock,0.5058185801954317,-0.9051482536448665,2002-12-18,assembly_automatic_seed,0.34376556404526987,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.46512469126442124,0.0368,-1.0,0.3782550352694747,0.518381561,government,0.3954832490226061,17,1
pres_2002,pres_2002_A,A,노무현,family_legal_risk,0.5221052631578947,0.0,2002-12-18,assembly_automatic_seed,0.11917838816666666,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.49473684210526314,0.0442,0.0,0.0,0.0,,0.3954832490226061,36,0
pres_2002,pres_2002_A,A,노무현,foreign_policy,0.44105263157894736,0.0,2002-12-18,assembly_automatic_seed,0.12543858367741934,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.34736842105263155,0.0292,0.0,0.0,0.0,,0.3954832490226061,31,0
pres_2002,pres_2002_A,A,노무현,gaffe_event,0.3021052631578947,0.0,2002-12-18,assembly_automatic_seed,0.12115519400000001,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.09473684210526313,0.005,0.0,0.0,0.0,,0.3954832490226061,6,0
pres_2002,pres_2002_A,A,노무현,gender_generation,0.37157894736842106,0.0,2002-12-18,assembly_automatic_seed,0.123407105,PIT automatic seed: unsigned salience plus explicit person/party/government target attribution; overall issue tone and speaker party do not create candidate direction,0.22105263157894736,0.0175,0.0,0.0,0.0,,0.3954832490226061,9,0
