path,bytes,sha256
data/candidate_issue_link.csv,21007,137d53f497a01bd5ca48b96c8a53e9bba9172cd9389f03a26a3c92ee80cd6dcd
data/config/active_presidential_model_v23.json,13037,295c7f78ed14548b6555f49db7a4afb39d2d1ec0e26a34d2927b01ef41cd2094
data/config/through2022_rederived_layers.json,3941,9da9823803db796b4b4ffcd2c1e47c5f2d25c0ae16ed2661b0286c76b4f7a720
data/issue_salience_assembly.csv,85652,cba331c2ef50df0b3b4bb9f004e78037b66985b16f53fd0efe267bd8cd335bd3
data/raw/candidate_vote_conversion_context.csv,4404,c2a9418929b0d61e5eabc2bdbd6868ce39fb8c384cab8db32ef8bf5ca5496a2a
data/raw/official_sources/assembly_pres_2025_context/assembly22_speaker_roster.csv,16821,162f048e5b5e6645daaff1c8b7209a211b29f215f0033cd7f9222112bd361eea
data/raw/official_sources/assembly_pres_2025_context/assembly22_speaker_roster.manifest.json,1835,b3959bdd4f833fd7d0ae9060f28aa54aa270738b61bbdd0f780a102f78204347
data/raw/official_sources/assembly_pres_2025_context/assembly_speaker_influence_pres_2025.csv,27216,2de094609499dbacd7bc2fc47e02cc344aabed9c172e024e36b9fbe3ae22fdf8
data/raw/official_sources/assembly_pres_2025_context/assembly_speaker_influence_pres_2025_diagnostics.csv,146,389f1e51dd5d2a24874d4cecec3fa57875ba93e86d3a5fd8ffd0a045f4ae75db
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/auto_candidate_role/third_candidate_profile.csv,728,72ffd6f7ecf24cfb7e411459e248590824039ea80ce1aa1e30c2e0397c38da71
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/auto_issue_seed/candidate_issue_profile.csv,28203,ef89fc9f1c94ac641e56ad496629f847fc1fb4a6fef5bb2a48dee30d8c9c6784
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/auto_issue_seed/mega_issue_attribution.csv,869,76ce3c897ef015c9d1d1aeb086699adf6e95af648a4c15888c7cbe07abe448ef
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/auto_issue_seed/mega_issue_axis.csv,677,8f2a4a91ea917c318f470551a5ea27c51ac5acc9cf94b0ed7125a1f27c73db96
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/candidate_party_speech_context.csv,5612,65b257038ce543177f50ba6520529d300e0017643ef5969e5f7019ace66f0a9c
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/candidate_party_tone_gap.csv,13361,3a19b7c7b5485e5d186ec3c229d9f3ad4f1f931ffe782111eac249df30e49098
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/candidate_political_landscape.csv,971,137b9ce9c2ca9149259f3b18605426fedb94713b7733e39ecc05ab903c4d4b35
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/candidate_public_treatment.csv,5775,270ac5b04db8ec4b276e57c137c8848b48025ce5c89e1773861130fd8bbf21b0
data/raw/official_sources/assembly_pres_2025_context/candidate_context_v2/candidate_vote_conversion_context.csv,5341,03470cfd0b9e3fe3f434bc90510b679a71ae0309c7e3c53753a8be6b32b8355e
data/raw/official_sources/assembly_pres_2025_context/candidate_target_context_weekly.csv,546881,2d5b7d58d5eb1dd79f8b2969452b9f18524d0e53f602e1bfc761f573d46e266f
