path,bytes,sha256
data/candidate_issue_link.csv,21007,137d53f497a01bd5ca48b96c8a53e9bba9172cd9389f03a26a3c92ee80cd6dcd
data/config/active_presidential_model.json,7605,03753dc2d77bdcd67c96028c9bc73a02bdad6b1320e6d53c43725bb4e3783797
data/config/active_presidential_model_v23.json,13037,295c7f78ed14548b6555f49db7a4afb39d2d1ec0e26a34d2927b01ef41cd2094
data/config/through2022_rederived_layers.json,3941,9da9823803db796b4b4ffcd2c1e47c5f2d25c0ae16ed2661b0286c76b4f7a720
data/issue_salience_assembly.csv,85652,cba331c2ef50df0b3b4bb9f004e78037b66985b16f53fd0efe267bd8cd335bd3
data/raw/candidate_regional_base.csv,1849,e5608d845dd632a06dd17b882efc114ade9d766ee8fbb106ad5783fc5f76ef8b
data/raw/candidate_vote_conversion_context.csv,4404,c2a9418929b0d61e5eabc2bdbd6868ce39fb8c384cab8db32ef8bf5ca5496a2a
data/raw/chungcheong_identity_alignment.csv,636,3c66fe5e3e89f551268768fab505771ea85ebd2ac8e5dcc08f55792a79db3081
data/raw/mega_issue_intensity.csv,591,ce132d918f11a9e045625ec4985745de50ee3c7fc48f0a11b1121cb79617199a
data/raw/official_sources/assembly_pres_2025_context/assembly22_speaker_roster.csv,16821,162f048e5b5e6645daaff1c8b7209a211b29f215f0033cd7f9222112bd361eea
data/raw/official_sources/assembly_pres_2025_context/assembly22_speaker_roster.manifest.json,1835,b3959bdd4f833fd7d0ae9060f28aa54aa270738b61bbdd0f780a102f78204347
data/raw/official_sources/assembly_pres_2025_context/assembly_speaker_influence_pres_2025.csv,27216,2de094609499dbacd7bc2fc47e02cc344aabed9c172e024e36b9fbe3ae22fdf8
data/raw/official_sources/assembly_pres_2025_context/assembly_speaker_influence_pres_2025_diagnostics.csv,146,389f1e51dd5d2a24874d4cecec3fa57875ba93e86d3a5fd8ffd0a045f4ae75db
